Date,0097.KL,0138.KL,0166.KL,1023.KL,1155.KL,1295.KL,1961.KL,2445.KL,2658.KL,3182.KL,3336.KL,3816.KL,4707.KL,4863.KL,5099.KL,5183.KL,5202.KL,5225.KL,5246.KL,5249.KL,5263.KL,5264.KL,5285.KL,5288.KL,5347.KL,5398.KL,5401.KL,5819.KL,5878.KL,5916.KL,6012.KL,6033.KL,6947.KL,7100.KL,7113.KL,7293.KL,8869.KL
2021-01-04,7.135293006896973,0.8593021631240845,2.341596841812134,3.260138988494873,5.9713897705078125,3.2957847118377686,3.853097915649414,20.054027557373047,12.826188087463379,3.8999416828155518,1.3054698705673218,5.291257858276367,125.70844268798828,4.5480265617370605,0.8650000095367432,6.057602882385254,0.5565508008003235,5.084832668304443,3.55780029296875,1.3492271900177002,1.5371341705322266,0.687285840511322,4.168702125549316,0.5906050205230713,8.177651405334473,1.5020630359649658,0.8600000143051147,15.605985641479492,0.9118872880935669,0.5282164812088013,4.063175201416016,13.810285568237305,3.479372024536133,1.7750502824783325,4.879359722137451,2.3563218116760254,3.9591729640960693
2021-01-05,7.164818286895752,0.8458752632141113,2.3243789672851562,3.2753732204437256,5.942784786224365,3.3118462562561035,3.8878884315490723,20.054027557373047,12.793839454650879,3.9173519611358643,1.282566785812378,5.181022644042969,125.9803695678711,4.5480265617370605,0.8500000238418579,5.965184688568115,0.5468716621398926,5.204583644866943,3.728379726409912,1.3319294452667236,1.5289578437805176,0.687285840511322,4.210472106933594,0.5906050205230713,8.240196228027344,1.4859552383422852,0.8600000143051147,15.368246078491211,0.9073280096054077,0.5659462809562683,4.127287864685059,13.56941032409668,3.5128273963928223,1.754410743713379,5.0745344161987305,2.327981948852539,3.8838491439819336
2021-01-06,7.086083889007568,0.8369239568710327,2.238290548324585,3.1687326431274414,5.89272403717041,3.266873836517334,3.896587371826172,20.087818145751953,12.502702713012695,3.7954788208007812,1.2596639394760132,5.251888751983643,125.07401275634766,4.556416988372803,0.8299999833106995,5.965184688568115,0.5323529839515686,5.112467288970947,3.655273675918579,1.297333836555481,1.4471955299377441,0.6760187745094299,4.168702125549316,0.5817236304283142,8.146379470825195,1.4497123956680298,0.875,15.147486686706543,0.9118872880935669,0.5923570990562439,4.0551605224609375,13.665761947631836,3.462644338607788,1.7200101613998413,5.110020160675049,2.327981948852539,3.8603103160858154
2021-01-07,6.93845796585083,0.8100714087486267,2.27272629737854,3.153498649597168,5.92133092880249,3.2765114307403564,3.913982629776001,20.20607566833496,12.486528396606445,3.6561944484710693,1.2520294189453125,5.283385276794434,126.43350982666016,4.531244277954102,0.7850000262260437,5.923177242279053,0.5226738452911377,5.250641822814941,3.590291738510132,1.2454404830932617,1.4717243909835815,0.6797744631767273,4.302367210388184,0.5728424787521362,8.224559783935547,1.4577662944793701,0.8700000047683716,15.28333854675293,0.8982090353965759,0.5810381174087524,4.231472492218018,13.729992866516113,3.479372024536133,1.7337702512741089,5.145506381988525,2.327981948852539,3.9356346130371094
2021-01-08,6.77114725112915,0.7832179665565491,2.2555084228515625,3.1306474208831787,6.00714635848999,3.266873836517334,3.9226808547973633,20.273658752441406,12.340961456298828,3.586552858352661,1.2596639394760132,5.314879417419434,126.43350982666016,4.573200702667236,0.7400000095367432,6.3516621589660645,0.512994647026062,5.167737007141113,3.5334315299987793,1.2021961212158203,1.389961838722229,0.6760187745094299,4.319075584411621,0.5550798773765564,8.224559783935547,1.4899823665618896,0.8700000047683716,15.436171531677246,0.9027684330940247,0.5282164812088013,4.167358875274658,13.56941032409668,3.5630102157592773,1.7200101613998413,5.766515731811523,2.3077378273010254,3.9544622898101807
2021-01-11,6.859723091125488,0.7876931428909302,2.2899436950683594,3.077327251434326,5.856967926025391,3.2572381496429443,3.913982629776001,20.86497688293457,12.340961456298828,3.5256168842315674,1.2291266918182373,5.259762763977051,126.88667297363281,4.623547554016113,0.7250000238418579,6.133219242095947,0.512994647026062,5.158524990081787,3.4928176403045654,1.176249384880066,1.4144905805587769,0.6685073971748352,4.352492332458496,0.5684018135070801,8.005656242370605,1.4497123956680298,0.8700000047683716,15.351263999938965,0.9118872880935669,0.5168975591659546,4.087216854095459,13.505172729492188,3.479372024536133,1.7062501907348633,5.704415321350098,2.26725172996521,3.8838491439819336
2021-01-12,7.086083889007568,0.8279733061790466,2.2985527515411377,2.9859211444854736,5.721092700958252,3.2251148223876953,3.913982629776001,20.76360321044922,12.324787139892578,3.5952579975128174,1.2367609739303589,5.228267192840576,126.43350982666016,4.699068546295166,0.7400000095367432,6.049201965332031,0.512994647026062,5.112467288970947,3.5334315299987793,1.133004903793335,1.3409043550491333,0.6797744631767273,4.344137191772461,0.5550798773765564,7.911839485168457,1.4698472023010254,0.8600000143051147,14.858799934387207,0.875411868095398,0.5055787563323975,4.039132595062256,13.328529357910156,3.395733118057251,1.754410743713379,5.926204204559326,2.26725172996521,3.8932650089263916
2021-01-13,7.351812362670898,0.8414002060890198,2.3674228191375732,3.1001784801483154,5.935632705688477,3.437124252319336,3.913982629776001,20.831186294555664,12.405657768249512,3.708425998687744,1.2443952560424805,5.283385276794434,125.88971710205078,4.615156650543213,0.7749999761581421,6.234038829803467,0.5226738452911377,5.020350456237793,3.574045419692993,1.2627384662628174,1.4063143730163574,0.6797744631767273,4.344137191772461,0.5728424787521362,7.9743828773498535,1.461793303489685,0.8650000095367432,15.079562187194824,0.8982090353965759,0.5319893956184387,4.047147750854492,13.31247329711914,3.404096841812134,1.7406502962112427,5.8818464279174805,2.2915444374084473,3.897972583770752
2021-01-14,7.43054723739624,0.8324487805366516,2.4535109996795654,3.153498649597168,5.9713897705078125,3.4853086471557617,3.913982629776001,20.52707862854004,12.421831130981445,3.7171311378479004,1.2367609739303589,5.259762763977051,125.25529479980469,4.657113075256348,0.7549999952316284,6.3012518882751465,0.5371925234794617,5.112467288970947,3.55780029296875,1.2021961212158203,1.3981380462646484,0.6760187745094299,4.344137191772461,0.5817236304283142,7.911839485168457,1.4658204317092896,0.8650000095367432,14.943709373474121,0.9027684330940247,0.5395354628562927,4.063175201416016,13.360649108886719,3.404096841812134,1.754410743713379,5.651185989379883,2.2915444374084473,4.123941421508789
2021-01-15,7.4403886795043945,0.8234980702400208,2.50516414642334,3.123030185699463,5.899876117706299,3.405001640319824,3.870492935180664,20.408815383911133,12.405657768249512,3.7432470321655273,1.2520294189453125,5.181022644042969,125.88971710205078,4.816544532775879,0.7649999856948853,6.309653282165527,0.5371925234794617,4.992715835571289,3.509063482284546,1.1935471296310425,1.3736093044281006,0.6835301518440247,4.227180004119873,0.5772830843925476,7.958746910095215,1.4658204317092896,0.875,15.113524436950684,0.8982090353965759,0.5734922289848328,4.047147750854492,13.408824920654297,3.4291887283325195,1.7337702512741089,5.6955437660217285,2.2996408939361572,4.109817981719971
