Date,Ticker,Cumulative_Return,Sector,Company Name,Benchmark (KLCI),ESG Group (F4GBM),Volatility_Risk
2021-04-23,0097.KL,0.10896561393454096,,ViTrox,No,Yes,0.4320545161161123
2021-04-26,0097.KL,0.08275869074380471,,ViTrox,No,Yes,0.4320545161161123
2021-04-27,0097.KL,0.10344829660178423,,ViTrox,No,Yes,0.4320545161161123
2021-04-28,0097.KL,0.11172420577294773,,ViTrox,No,Yes,0.4320545161161123
2021-04-30,0097.KL,0.10758621777338018,,ViTrox,No,Yes,0.4320545161161123
2021-05-03,0097.KL,0.10344829660178423,,ViTrox,No,Yes,0.4320545161161123
2021-05-04,0097.KL,0.08551734941018307,,ViTrox,No,Yes,0.4320545161161123
2021-05-05,0097.KL,0.062068951229881764,,ViTrox,No,Yes,0.4320545161161123
2021-05-06,0097.KL,0.056551767553068455,,ViTrox,No,Yes,0.4320545161161123
2021-05-07,0097.KL,0.05793116371422924,,ViTrox,No,Yes,0.4320545161161123
2021-05-10,0097.KL,0.031724240523492986,,ViTrox,No,Yes,0.4320545161161123
2021-05-11,0097.KL,0.0013793293331891832,,ViTrox,No,Yes,0.4320545161161123
2021-05-12,0097.KL,0.006896713493917295,,ViTrox,No,Yes,0.4320545161161123
2021-05-17,0097.KL,0.020689739513922722,,ViTrox,No,Yes,0.4320545161161123
2021-05-18,0097.KL,0.0303448443623322,,ViTrox,No,Yes,0.4320545161161123
2021-05-19,0097.KL,0.042758674705091426,,ViTrox,No,Yes,0.4320545161161123
2021-05-20,0097.KL,0.042758674705091426,,ViTrox,No,Yes,0.4320545161161123
2021-05-21,0097.KL,0.01931041018073354,,ViTrox,No,Yes,0.4320545161161123
2021-05-24,0097.KL,0.05241391320944411,,ViTrox,No,Yes,0.4320545161161123
2021-05-25,0097.KL,0.056551767553068455,,ViTrox,No,Yes,0.4320545161161123
2021-05-27,0097.KL,0.07172412290626284,,ViTrox,No,Yes,0.4320545161161123
2021-05-28,0097.KL,0.056551767553068455,,ViTrox,No,Yes,0.4320545161161123
2021-05-31,0097.KL,0.04827592520987656,,ViTrox,No,Yes,0.4320545161161123
2021-06-01,0097.KL,0.05517243821987927,,ViTrox,No,Yes,0.4320545161161123
2021-06-02,0097.KL,0.07862076957220876,,ViTrox,No,Yes,0.4320545161161123
2021-06-03,0097.KL,0.07172412290626284,,ViTrox,No,Yes,0.4320545161161123
2021-06-04,0097.KL,0.05793116371422924,,ViTrox,No,Yes,0.4320545161161123
2021-06-08,0097.KL,0.0606896887246644,,ViTrox,No,Yes,0.4320545161161123
2021-06-09,0097.KL,0.037241557856249496,,ViTrox,No,Yes,0.4320545161161123
2021-06-10,0097.KL,0.03310350302871057,,ViTrox,No,Yes,0.4320545161161123
2021-06-11,0097.KL,0.04827592520987656,,ViTrox,No,Yes,0.4320545161161123
